ID,Loan_Amount,Grade,Interest_Rate,Default_Prob
139373430,36000,A,0.08460000000000001,0.202082263131785
140494215,37800,A,0.08460000000000001,0.202205586041809
139384804,35000,A,0.08460000000000001,0.202278483104697
140431539,32525,A,0.08460000000000001,0.202326552834862
141018400,40000,A,0.08460000000000001,0.20253105980957
139804455,15000,A,0.08460000000000001,0.202535624012831
140797455,40000,A,0.08460000000000001,0.202576580238105
139231261,23000,A,0.08460000000000001,0.202591887130229
140614111,7000,A,0.08460000000000001,0.202786401728738
140867796,35000,A,0.08460000000000001,0.202885471384915
140099109,40000,A,0.08460000000000001,0.202930702751544
140752289,40000,A,0.08460000000000001,0.203139625400448
140284476,39000,A,0.08460000000000001,0.203173242547068
140312343,30000,A,0.08460000000000001,0.203190901881908
140880209,35000,A,0.08460000000000001,0.203200082838775
140673776,15000,A,0.08460000000000001,0.203231416402726
140816433,40000,A,0.08460000000000001,0.203231465111337
140445846,25000,A,0.08460000000000001,0.203414957482873
140467378,10000,A,0.08460000000000001,0.203437359003587
139325564,30000,A,0.08460000000000001,0.203451698262972
140970755,35000,A,0.08460000000000001,0.203459996635841
139532847,7500,A,0.08460000000000001,0.203469146677402
139922254,40000,A,0.08460000000000001,0.203511147857325
139936819,9000,A,0.08460000000000001,0.20357750496606
139913498,25000,A,0.08460000000000001,0.203700648329846
141079498,28000,A,0.08460000000000001,0.203711149179431
139562137,12000,A,0.08460000000000001,0.203711954307157
140659502,40000,A,0.08460000000000001,0.203722486161263
138959644,25000,A,0.08460000000000001,0.203767227398128
138500464,7000,A,0.08460000000000001,0.203867135081012
139714142,25000,A,0.08460000000000001,0.203899301255368
139802119,30000,A,0.08460000000000001,0.203911915449681
140307205,26000,A,0.08460000000000001,0.20394339696329
139684301,19600,A,0.08460000000000001,0.203963335713701
139968641,11000,A,0.08460000000000001,0.203968578183343
139843776,25000,A,0.08460000000000001,0.203979191798242
139661848,15000,A,0.08460000000000001,0.20398595390426
139680291,13000,A,0.08460000000000001,0.204109505271524
140467367,15000,A,0.08460000000000001,0.204132635675029
139878448,25000,A,0.08460000000000001,0.204145195807888
140559296,35000,A,0.08460000000000001,0.204221934466151
140232382,40000,A,0.08460000000000001,0.20428832831116
139756999,20000,A,0.08460000000000001,0.204304001099261
139877382,27500,A,0.08460000000000001,0.204341926780437
140984506,25000,A,0.08460000000000001,0.204361118043858
139699796,10000,A,0.08460000000000001,0.204375741535766
139794719,36000,A,0.08460000000000001,0.204405451714246
139618451,24600,A,0.08460000000000001,0.204412711335551
138965747,20500,A,0.08460000000000001,0.20445534912032
139390046,40000,A,0.08460000000000001,0.204489411279911
140371125,28825,A,0.08460000000000001,0.204495386641573
140609351,14000,A,0.08460000000000001,0.204543839834004
140406949,28500,A,0.08460000000000001,0.204608325310802
141066429,12000,A,0.08460000000000001,0.204623694825585
139675456,24000,A,0.08460000000000001,0.204653017915955
140882871,18800,A,0.08460000000000001,0.204656647895835
140372406,40000,A,0.08460000000000001,0.204677230013022
140196306,28000,A,0.08460000000000001,0.204703666948226
140341750,33000,A,0.08460000000000001,0.204721140092557
139382938,25000,A,0.08460000000000001,0.204725207714182
141085226,14000,A,0.08460000000000001,0.204747716523644
140764373,39000,A,0.08460000000000001,0.204761014051912
140294530,13000,A,0.08460000000000001,0.204787138226504
141093697,30000,A,0.08460000000000001,0.204821760154796
139300007,20275,A,0.08460000000000001,0.204826313115333
140316646,40000,A,0.08460000000000001,0.204833656993709
140760848,40000,A,0.08460000000000001,0.204849847304652
139119326,28000,A,0.08460000000000001,0.204856415556175
140119591,16000,A,0.08460000000000001,0.20487429661216
140280204,25000,A,0.08460000000000001,0.204882702758511
140562227,17000,A,0.08460000000000001,0.204899632158732
140294993,30000,A,0.08460000000000001,0.204948599984264
140561840,13200,A,0.08460000000000001,0.204952217320906
140595765,40000,A,0.08460000000000001,0.205004488792252
140484739,16500,A,0.08460000000000001,0.205009237881691
139303607,15000,A,0.08460000000000001,0.205009500375658
140685905,16000,A,0.08460000000000001,0.205053311701197
140114368,10000,A,0.08460000000000001,0.205090583763007
140280412,20000,A,0.08460000000000001,0.20509527280429
140384574,30000,A,0.08460000000000001,0.205098282954097
139842261,11000,A,0.08460000000000001,0.205181348023891
139264217,40000,A,0.08460000000000001,0.205219395043035
140219885,24000,A,0.08460000000000001,0.205235496040122
140636936,25000,A,0.08460000000000001,0.205272316293215
140800786,31500,A,0.08460000000000001,0.205280677333056
139623099,10000,A,0.08460000000000001,0.205293093151095
140554511,20000,A,0.08460000000000001,0.20530643635218
140501934,14000,A,0.08460000000000001,0.205312192271777
140378705,38000,A,0.08460000000000001,0.205320535097178
139688898,21000,A,0.08460000000000001,0.205331206753127
139481799,20000,A,0.08460000000000001,0.205337194927988
140897303,5000,A,0.08460000000000001,0.205361464196703
139647705,26550,A,0.08460000000000001,0.205381890354007
139834365,12000,A,0.08460000000000001,0.2054126794
140603590,12125,A,0.08460000000000001,0.205441790978992
139639094,36000,A,0.08460000000000001,0.205456989125915
140080969,4000,A,0.08460000000000001,0.205472276018019
139845293,40000,A,0.08460000000000001,0.205484171511938
138962539,18000,A,0.08460000000000001,0.205501583880058
139611557,12000,A,0.08460000000000001,0.205501884202886
140058819,10000,A,0.08460000000000001,0.205504669390715
140655381,30000,A,0.08460000000000001,0.205510529037268
139675009,10000,A,0.08460000000000001,0.205513692026702
139156399,5000,A,0.08460000000000001,0.205522505950762
139656768,11000,A,0.08460000000000001,0.205536097045802
139491476,40000,A,0.08460000000000001,0.205566068901844
140863427,16000,A,0.08460000000000001,0.205568271278511
140225929,32000,A,0.08460000000000001,0.205570494046308
139677308,40000,A,0.08460000000000001,0.205579387246303
139802285,15000,A,0.08460000000000001,0.205580602440792
139828390,15000,A,0.08460000000000001,0.205602189041897
139436678,21000,A,0.08460000000000001,0.205606064027054
140094030,16000,A,0.08460000000000001,0.205610696673367
139640103,20000,A,0.08460000000000001,0.205616523354216
140479268,37250,A,0.08460000000000001,0.205620127833778
140245588,25000,A,0.08460000000000001,0.205622322452739
140603485,40000,A,0.08460000000000001,0.205652385657382
141088703,12000,A,0.08460000000000001,0.205653165605759
139490190,28500,A,0.08460000000000001,0.205677182437567
140120281,7000,A,0.08460000000000001,0.205681657158933
140021577,40000,A,0.08460000000000001,0.205696073009975
140376370,8800,A,0.08460000000000001,0.205696184286292
139046415,5500,A,0.08460000000000001,0.205703978994014
